tickers,shortNames,longNames
CAG,"ConAgra Brands, Inc.","Conagra Brands, Inc."
MS,Morgan Stanley,Morgan Stanley
SLB,Schlumberger N.V.,Schlumberger Limited
UHS,"Universal Health Services, Inc.","Universal Health Services, Inc."
ROP,"Roper Technologies, Inc.","Roper Technologies, Inc."
WAB,Westinghouse Air Brake Technolo,Westinghouse Air Brake Technologies Corporation
FIS,Fidelity National Information S,"Fidelity National Information Services, Inc."
EIX,Edison International,Edison International
HPQ,HP Inc.,HP Inc.
HSIC,"Henry Schein, Inc.","Henry Schein, Inc."
ABC,AmerisourceBergen Corporation,AmerisourceBergen Corporation
MKC,"McCormick & Company, Incorporat","McCormick & Company, Incorporated"
WEC,"WEC Energy Group, Inc.","WEC Energy Group, Inc."
ZBRA,Zebra Technologies Corporation,Zebra Technologies Corporation
EBAY,eBay Inc.,eBay Inc.
ANET,"Arista Networks, Inc.","Arista Networks, Inc."
ADSK,"Autodesk, Inc.","Autodesk, Inc."
LVS,Las Vegas Sands Corp.,Las Vegas Sands Corp.
ZION,Zions Bancorporation N.A.,"Zions Bancorporation, National Association"
SPGI,S&P Global Inc.,S&P Global Inc.
BAC,Bank of America Corporation,Bank of America Corporation
WMT,Walmart Inc.,Walmart Inc.
VNO,Vornado Realty Trust,Vornado Realty Trust
CNP,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc."
AMAT,"Applied Materials, Inc.","Applied Materials, Inc."
CHTR,"Charter Communications, Inc.","Charter Communications, Inc."
